pgs_c pgs_m pgs_f
0.904755 0.0737352 0.349251
0.427998 0.984745 -1.47631
0.952298 -0.436682 1.59985
1.06913 0.2873 1.5594
0.242406 0.55513 -0.29633
-0.644768 -0.585 -0.834568
0.855488 0.320458 0.764141
1.21135 0.115185 0.9178
-0.726072 0.374631 -0.748695
0.201757 0.151612 -0.0978275
-0.521135 -1.30416 -0.292975
0.279804 1.2736 1.30751
-0.281775 0.408271 -0.838629
0.125996 0.0900651 -0.344978
-0.15258 -0.480517 0.116135
0.174955 0.483263 -0.382524
0.981731 0.191618 0.942723
0.149181 0.528316 -0.733601
1.60012 1.00544 1.15489
-0.0617856 1.42914 0.106536
1.11372 0.665647 0.335083
0.304626 1.0079 0.330827
1.19438 0.183508 0.317522
0.273071 -0.537952 0.284008
-0.203721 -0.374355 0.0941801
1.21053 1.30481 0.501008
1.1313 0.205042 1.88357
0.388712 -0.214137 -0.110466
1.08058 1.16949 1.433
0.733418 -0.0564636 1.11167
-0.454732 0.81546 -0.810012
-0.163209 -0.311388 0.0383865
0.768208 1.1749 0.194031
-0.0658856 -0.269067 0.170807
-0.753036 -0.983207 -0.545013
-0.992061 -0.76358 0.0977414
1.60527 0.809026 1.35884
0.191406 -0.6556 0.35879
0.764241 1.0909 0.116272
-0.450173 -0.414832 0.0906801
0.364118 -0.452975 -0.0471186
0.564032 0.757745 -0.988301
0.468769 0.968964 -0.178804
-0.171404 -0.639689 -0.0132709
0.719763 0.428975 0.369176
0.225784 0.222592 0.160507
0.809001 -0.137342 0.351457
1.61808 1.31334 0.58507
0.475202 0.621204 0.433682
0.397406 -0.319379 1.81866
-1.60483 -0.427981 -0.585291
0.284829 0.711682 0.382625
-0.584242 -0.140647 -0.835027
1.75384 2.43877 0.964235
0.467721 -0.179171 0.675658
0.747641 0.866471 0.616266
0.691417 -0.337184 -0.56822
-0.321521 -0.397011 -0.954214
0.0733558 -0.383165 -0.0441293
0.38588 0.185044 0.284888
0.39421 -0.0921107 0.686986
1.24385 0.978887 1.18622
-1.30178 -1.00583 -1.02935
-0.195753 0.52584 -0.885918
-1.79899 -1.387 -0.552017
-1.2366 -0.385609 -2.09378
-0.395647 0.469152 -0.370719
-0.458277 0.506919 -0.481728
1.15378 0.379168 1.61321
0.709796 0.285248 1.26422
0.637444 1.73908 0.513613
0.228603 0.901571 0.547847
0.0328017 -0.189164 0.336876
0.345875 0.771302 -0.523436
1.03311 0.884051 -0.265591
1.23443 0.642574 0.459386
-0.429748 -0.335159 -0.958429
1.46554 1.30494 1.06825
0.390443 -0.675442 0.998444
0.629703 0.259562 0.281607
-0.81621 -1.00164 -0.884536
1.03017 0.570157 1.04276
2.29838 1.29281 1.67413
-0.843567 -1.18739 -0.624139
-0.885026 -0.770897 -0.158316
0.0177514 -0.290864 1.06008
0.0152599 1.0942 0.107583
1.03798 0.670261 0.0419775
-0.53695 -1.88916 0.494172
2.41974 0.998206 2.38893
0.718677 0.126239 -0.386057
-0.0323643 -0.631281 -1.24389
-0.611227 -0.296707 0.171228
0.645372 0.341908 0.758712
1.062 0.872618 0.799339
0.899793 0.531503 1.32814
-0.26374 0.707569 -0.39652
0.792756 0.353837 0.25822
-0.243851 -0.816585 -0.0461375
0.628049 1.15758 0.574554
1.27199 0.143791 0.998372
-0.13718 -0.344765 0.298483
1.00471 -0.102407 0.19921
0.869725 0.403079 0.0177113
-0.707166 -0.475009 0.482873
0.963198 -0.306378 1.07455
0.519659 -0.0724275 0.2776
0.62396 -0.091894 0.287517
0.907842 -0.347469 2.02427
0.389899 0.151613 1.21462
0.571343 1.17902 0.31391
0.80994 0.909684 1.35669
1.00248 1.10624 1.19514
1.28311 0.455786 0.835123
-0.0254182 -0.508122 0.846543
2.04912 0.872329 1.90107
0.591875 0.426578 1.24912
0.552705 0.389041 -1.02781
2.42791 1.69762 0.658542
2.90116 2.13185 0.600326
1.92286 1.44771 2.06558
0.689574 -0.15946 0.773926
0.896507 0.350878 0.824931
-0.117783 -0.743902 -0.32763
1.37503 1.32825 1.45819
-0.473827 0.699079 0.0912164
1.16795 0.695228 0.506707
-0.273233 1.07535 -1.20489
0.68471 0.586577 0.851186
2.76535 2.30542 1.88404
-0.0203886 0.785868 0.165755
0.601553 1.17444 0.842459
1.28307 1.68472 -0.0346627
-0.502291 -0.541262 -0.88139
0.31899 -0.778217 0.454027
-0.436046 0.334951 -0.690267
1.86797 0.121466 1.31156
-0.253696 -0.22083 -0.403313
1.67658 1.46942 1.40035
1.3739 0.129678 1.9304
0.667391 0.281958 0.0210347
1.16101 0.65246 -0.095461
-0.455098 -0.566943 -0.342302
0.0854831 0.684928 -0.541959
-0.0733547 -0.412265 -0.0536939
